biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 82b593 63a277
biome 6 e0ffae 5c694e 496137
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 82b593 63a277
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 53ca37 29bc05
biome 22 ffffff 53ca37 29bc05
biome 23 ffffff 80b497 60a17b
biome 24 ffffff 80b497 60a17b
biome 25 ffffff 8dbb68 72a941
biome 26 ffffff ccb978 89a449
biome 27 ffffff 7fbd64 5fac3c
biome 28 ffffff 78ed85 78ed85
biome 29 ff107a 69cfdb 70e099
biome 30 ffffff bfb755 aea42a
biome 31 ffffff a1c36d a1c36d
biome 32 ffffff 47cd33 1abf00
biome 33 ffffff baa960 c4cc55
biome 34 ffffff b6ff5e 8bff56
biome 35 ffffff 79c05a 59ae30
biome 36 ffffff 82b593 63a277
biome 37 4fff3f 62a03b 6bbc3c
biome 38 ffff77 ccc9ad d7dbb6
biome 39 ffffff b2b952 9fa726
biome 40 ffffff 83bd65 65ab3e
biome 41 ffffff bec44c b3c442
biome 42 ffffff 91b971 76a64e
biome 43 ffffff 80b497 60a17b
biome 44 ffffff a6ad66 a89b59
biome 45 ffffff c8e84a c8e84a
biome 46 ffffff c8e84a c8e84a
biome 47 1e1b26 3f4151 3f4151
biome 48 ffffff a4b76e 8ca44a
biome 49 ffffff a9ba64 a9ba64
biome 50 ffffff 63b26d 63b26d
biome 51 84ff38 545b33 48b22c
biome 52 ffffff 90b879 73a557
biome 53 ffffff b9b75b a6a432
biome 54 ffffff bfb755 aea42a
biome 55 ffffff 6ac44e 45b421
biome 56 ffffff 00ba78 00ba78
biome 57 ffffff 7fbc6d 60aa48
biome 58 ffffff 7fbc6d 60aa48
biome 59 ffffff 7fbc6d 60aa48
biome 60 ffffff 86b688 67a369
biome 61 ffffff 8abf57 6dae2c
biome 62 ffffff 78ed85 78ed85
biome 63 ffffff 78ed85 78ed85
biome 64 ffffff 78ed85 78ed85
biome 65 ffffff bfb755 aea42a
biome 66 ffffff bfb755 aea42a
biome 67 ffffff bfb755 aea42a
biome 68 ffffff bfb755 aea42a
biome 69 ffffff bfb755 aea42a
biome 70 ffffff 70c15b 4cb031
biome 71 ffffff 8eb971 71a74d
biome 72 ffffff 79c05a 59ae30
biome 73 ffffff 95b872 7aa54f
biome 74 ffffff 83bb6d 63a948
biome 75 e0ffae 5c694e 496137
biome 76 ffffff 7cbd6b 5bab46
biome 77 ffffff 84b68d 65a371
biome 78 ffffff 80b497 60a17b
biome 79 ffffff 91bd59 77ab2f
biome 80 ffffff b9b75b a6a432
biome 81 ffffff 7cbd6b 5bab46
biome 82 ffffff 61c64b 3bb61e
biome 83 ffffff 554114 3b5e3f
biome 84 ffffff 95b872 7aa54f
biome 85 ffffff 554114 3b5e3f
biome 86 ffffff 8ab696 8eb698
biome 87 6c2c2c 572e23 64260f
biome 88 ffffff 80b497 60a17b
biome 89 ffffff 9cb96d 84a648
biome 90 00ffff 79bf59 59ae30
biome 91 ffffff 7cbd6b 5bab46
biome 92 ffffff 7fbd64 5fac3c
biome 93 ffffff eee980 a6c968
biome 94 ffffff 8aba6f 6da84b
biome 95 ffffff 61c64b 3bb61e
biome 96 ffffff 9cb96d 84a648
biome 97 ffffff 8dbb68 72a941
biome 98 ffffff b2b952 9fa726
biome 101 ffffff b2b952 9fa726
biome 103 ffffff 80b497 60a17b
biome 104 ffffff ccb978 89a449
biome 105 ffffff 83b68f 65a272
biome 106 ffffff 47cd33 1abf00
biome 107 ffffff 47cd33 1abf00
